Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LTC,2020-01-25,54.5840050128,54.3728391198,55.2785617802,50.6245323377
LTC,2020-01-26,53.5550523709,54.5832816129,54.752429632,52.2055048847
LTC,2020-01-27,55.7586574292,53.5564816109,56.5103325328,52.803633547
LTC,2020-01-28,58.5287489911,55.7586376925,59.4759296362,55.7585960999
LTC,2020-01-29,59.3921746886,58.5164461403,61.4006333723,57.26720121
LTC,2020-01-30,60.0726005253,59.3921633767,62.3748398973,59.2222761089
LTC,2020-01-31,68.9488986893,59.7083198065,70.08596876,58.1667205343
LTC,2020-02-01,68.4030324331,68.9797196163,69.8223413659,65.3593360257
LTC,2020-02-02,70.5020977256,68.385620458,72.8279614699,67.4447785511
LTC,2020-02-03,70.8369437278,70.7607545588,73.3772100401,67.6806729924
LTC,2020-02-04,69.5287330649,70.8368672324,72.8826576398,68.3977556333
LTC,2020-02-05,67.7480300194,69.6363169804,70.3577049765,66.5852677227
LTC,2020-02-06,72.5477847171,67.7462724571,73.3791130765,67.5006736168
LTC,2020-02-07,72.8779886976,72.5360480956,74.9874619551,70.944333071
LTC,2020-02-08,73.9990819417,72.8771678692,75.3141300752,72.5813285499
LTC,2020-02-09,77.2549540374,73.9989664222,77.751332102,71.5585014109
LTC,2020-02-10,76.9920677031,76.6730732128,78.4584675283,75.1530033889
LTC,2020-02-11,73.7817456172,76.992056879,77.473221319,72.355215457
LTC,2020-02-12,76.9402913072,74.0367079645,77.572600811,72.6000600443
LTC,2020-02-13,81.6898093912,76.9403812475,82.9912550926,76.6168395047
LTC,2020-02-14,79.8295808845,81.6840472683,84.4264048963,77.3457093435
LTC,2020-02-15,83.6444990423,80.6060743591,83.7071401887,78.5947393457
LTC,2020-02-16,77.0347271439,83.6442482246,83.9346203319,75.1037920002
LTC,2020-02-17,73.6789282447,77.034682697,80.7293989612,67.8723998056
LTC,2020-02-18,72.0495678568,74.8383663105,75.4508953132,68.7199690587
LTC,2020-02-19,77.2712700143,72.0639682471,79.1348340096,70.3000436459
LTC,2020-02-20,72.5201873648,77.2750221126,79.5323165571,67.8219174608
LTC,2020-02-21,69.8651618142,70.692655223,72.3809425745,66.315441543
LTC,2020-02-22,72.7829559658,69.8642158088,75.3726784413,68.7280620505
LTC,2020-02-23,75.5032443447,73.4064854751,76.7273466141,72.4862771356
LTC,2020-02-24,79.3385013616,75.4695342602,80.1957564812,74.5977151638
LTC,2020-02-25,75.1175154679,79.3270281035,80.0519385182,71.7823890625
