Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-03-06,9078.5787771302,8756.9621160099,9172.1382578197,8745.9929560968
BTC,2020-03-07,9126.6368222216,9073.1601342024,9191.1503397165,9004.9447121357
BTC,2020-03-08,8925.2134877789,9126.8883175898,9204.6723591899,8858.6475568679
BTC,2020-03-09,8166.3138940249,8925.217517945,8925.3830385259,8163.6824715264
BTC,2020-03-10,7875.7508752183,8166.313267607,8256.1255068954,7625.18961911
BTC,2020-03-11,7959.2282742121,7939.2528230561,8159.1579194117,7745.1520785995
BTC,2020-03-12,7955.3062841815,7959.2336539695,7984.60248779,7591.897234712
BTC,2020-03-13,5800.2089048343,7954.4400079769,7977.8436803201,5568.0166896362
BTC,2020-03-14,5672.6812010316,5803.7943141679,6013.2528924193,3867.0913120448
BTC,2020-03-15,5304.149952186,5672.6511129606,5809.6402964717,5214.7743017463
BTC,2020-03-16,5355.1873735338,5304.1490746261,6115.8344783085,5076.8620925173
BTC,2020-03-17,4944.7023359837,5359.5819953221,5439.4667029544,4452.2605452255
BTC,2020-03-18,5465.582594124,4944.6925087191,5558.1292949021,4921.2031446622
BTC,2020-03-19,5363.8228532507,5465.555260981,5466.942335409,5043.0750917129
BTC,2020-03-20,6301.0634040737,5363.8162302599,6428.7804432327,5274.927111767
BTC,2020-03-21,6185.2798385235,6301.1202913009,6942.9352678443,5680.1032816327
BTC,2020-03-22,6187.0537502172,6176.205753566,6470.3547667067,5883.7541571284
BTC,2020-03-23,5884.3401334651,6187.042145894,6431.8731619281,5802.5534018084
BTC,2020-03-24,6455.4546882515,5829.352510533,6620.8582532297,5694.1982989147
BTC,2020-03-25,6784.3180114254,6455.4506497597,6863.6021964479,6406.0374386706
BTC,2020-03-26,6706.9850891337,6784.3252039507,6981.7203862999,6488.1118850734
BTC,2020-03-27,6721.4953923809,6697.9483199297,6796.0537009424,6537.856462365
BTC,2020-03-28,6682.7800491951,6718.0848719058,6865.5414242377,6597.3075835098
BTC,2020-03-29,6229.4883428258,6682.780622083,6688.0432774437,6044.4751102185
BTC,2020-03-30,5922.4898350924,6229.4933199122,6284.2724607738,5879.7775279033
BTC,2020-03-31,6483.7394455297,5879.8168356462,6615.7864800561,5858.8579348981
BTC,2020-04-01,6446.4213468415,6483.6170416022,6533.0649088302,6344.6335361166
BTC,2020-04-02,6537.3364615033,6446.4426671473,6605.4444557466,6159.5824510417
BTC,2020-04-03,6850.5587116906,6537.6869903915,7212.7251455572,6519.9348986302
BTC,2020-04-04,6776.370093566,6796.9251957499,7049.7063662037,6612.6779556242
BTC,2020-04-05,6855.9332644576,6772.0073009494,7003.1261340455,6664.6108047468
BTC,2020-04-06,6805.3622868989,6873.720047521,6908.855128041,6684.7157318651
BTC,2020-04-07,7278.2439697658,6809.0045677517,7319.9780929005,6775.1110139068
BTC,2020-04-08,7175.6674765579,7277.7042816172,7464.7322447448,7081.6392093517
BTC,2020-04-09,7367.2933984502,7175.6694181696,7424.7437205815,7155.2110526204
BTC,2020-04-10,7321.8166138877,7366.9009606414,7399.4691329835,7125.7755189952
BTC,2020-04-11,6866.3981890103,7321.8157461222,7325.3247779259,6752.5936636938
BTC,2020-04-12,6873.848495157,6872.1372659497,6949.7888750096,6777.8896942429
BTC,2020-04-13,7043.4388635241,6873.8485549066,7201.9903551464,6797.7790628043
BTC,2020-04-14,6889.8637723481,7043.4388929919,7050.7710252237,6600.7714938355
BTC,2020-04-15,6887.554907833,6889.8639781647,6991.3263967632,6772.3221319856
BTC,2020-04-16,6718.7999502834,6887.5488979254,6942.9070804085,6701.0211163339
BTC,2020-04-17,7166.5828171387,6628.9752825049,7178.7658941716,6486.5313078652
BTC,2020-04-18,7065.0823890422,7162.5272306278,7200.3172088039,6996.1491089494
BTC,2020-04-19,7277.1405855631,7065.0660857569,7301.814370888,7029.0159611769
BTC,2020-04-20,7185.87030343,7277.1406537464,7292.862985328,7066.9471850573
BTC,2020-04-21,6856.1464345446,7185.8708309939,7221.9159066607,6764.4306986679
BTC,2020-04-22,6904.4757726979,6856.1464256671,6954.0051366353,6782.2393714434
BTC,2020-04-23,7118.3887479246,6904.4762213559,7165.5200044019,6831.9479064183
BTC,2020-04-24,7562.0328317455,7118.3889150784,7725.6716992521,7037.5548449005
